index,Name.x,Hall.of.Fame.Class,Year.Drafted,RGP,RMIN,RPTS,RFGM,RFGA,RFG.,RX3P.Made,RX3PA,RX3P.,RFTM,RFTA,RFT.,ROREB,RDREB,RREB,RAST,RSTL,RBLK,RTOV,REFF,HOF,birth_year,pos,age,experience,lg,tm,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
48,Reggie Carter,NA,1980,60,8.9,2.8,1,3,33,0,0.1,0,0.9,1.2,73.9,0.5,0.7,1.2,1.3,0.4,0,0.6,2.7,0,NA,SG,23,1,NBA,NYK,0.404,0.017,0.385,6.2,8.6,7.4,18.3,2,0.2,15.4,18.7,-0.4,0.5,0.1,0.01,-3.3,-0.3,-3.7,-0.2
49,Reggie Johnson,NA,1980,79,21.7,10.2,4.3,8.6,49.9,0,0,0,1.6,2.4,66.3,1.7,2.9,4.5,1,0.6,0.6,1.6,10.1,0,NA,PF,23,1,NBA,SAS,0.527,0.001,0.283,8.8,13.7,11.4,6.5,1.2,1.5,14.5,20.7,1.4,1.6,3,0.085,-2.1,-1.1,-3.2,-0.5
51,Rickey Brown,NA,1980,45,12.9,4,1.8,3.6,51.2,0,0,0,0.4,0.5,76.2,1.2,2.5,3.7,0.5,0.2,0.3,0.7,6.2,0,NA,C,22,1,NBA,GSW,0.531,0,0.13,9.8,22.1,15.9,4.8,0.7,1.4,15.3,13.8,0.5,0.4,0.9,0.075,-2.2,-0.6,-2.9,-0.1
52,Sam Worthen,NA,1980,64,14.8,3.7,1.5,3,49.5,0,0.1,0,0.7,0.9,75,0.3,1.5,1.8,1.8,0.9,0.1,1.4,5.1,0,NA,PG,23,1,NBA,CHI,0.538,0.021,0.313,2.8,10.8,6.9,15.7,2.9,0.4,29.4,13.3,-0.4,1,0.7,0.035,-3.3,1.4,-1.9,0
55,Alex Bradley,NA,1981,39,8.5,3.5,1.4,2.6,52.4,0,0,0,0.7,1.2,60.4,0.8,0.9,1.7,0.3,0.3,0.1,0.7,3.4,0,NA,SF,22,1,NBA,NYK,0.552,0.01,0.466,10.5,12,11.2,4.6,1.7,0.9,18.4,18.9,0.1,0.3,0.4,0.053,-1.6,-1,-2.6,0
56,Alton Lister,NA,1981,80,14.8,4.5,1.9,3.6,51.9,0,0,0,0.8,1.5,52,1.4,3.5,4.8,1.1,0.2,1.5,1.6,8,0,NA,C,23,1,NBA,MIL,0.531,0,0.429,10.9,26,18.7,9.2,0.7,5.8,27.4,16.3,-0.9,2.6,1.7,0.071,-4.3,2.7,-1.6,0.1
58,Buck Williams,NA,1981,82,34.5,15.5,6.3,10.7,58.2,0,0,0,3,4.7,62.4,4.2,8,12.3,1.3,1,1,2.9,21.9,0,NA,PF,21,1,NBA,NJN,0.603,0.001,0.44,13.7,26.6,20.1,5.4,1.4,1.7,18.3,18.2,3.6,5.3,8.9,0.152,0.7,0,0.7,1.9
63,Danny Vranes,NA,1981,77,14,4.9,1.9,3.4,54.6,0,0,0,1.2,1.9,60.1,0.9,1.6,2.6,0.7,0.4,0.3,0.9,5.6,0,NA,SF,23,1,NBA,SEA,0.573,0.004,0.565,7.4,12.4,10,6.9,1.3,1.1,17.2,15.2,0.8,1.5,2.4,0.106,-2.1,0.5,-1.6,0.1
66,Eddie Johnson,NA,1981,74,20.5,9.3,4,8.7,45.9,0,0.1,9.1,1.3,2,66.4,1.7,2.6,4.4,1.5,0.7,0.2,1.3,9.3,0,1959,SF,22,1,NBA,KCK,0.487,0.017,0.232,9.2,14.8,11.9,10.1,1.6,0.5,12,21.7,0.3,1.4,1.8,0.056,-1.4,-0.9,-2.4,-0.1
69,Franklin Edwards,NA,1981,42,6.9,3.6,1.5,3.6,43.3,0,0.2,0,0.5,0.6,74.1,0.2,0.4,0.6,1.1,0.4,0.1,0.6,3,0,NA,PG,22,1,NBA,PHI,0.463,0.06,0.18,4,6.3,5.2,22.5,2.6,1,12.9,26.6,-0.1,0.4,0.2,0.041,-2.4,-0.2,-2.7,0
70,Garry Witts,NA,1981,46,10.7,2.9,1.1,1.8,58.3,0,0,50,0.7,0.9,82.5,0.6,0.7,1.3,0.8,0.4,0.1,0.8,3.8,0,NA,SF,22,1,NBA,WSB,0.65,0.024,0.476,6.5,7.2,6.9,10.2,1.7,0.5,25.6,11.6,0.4,0.6,1.1,0.104,-2.6,1.6,-1,0.1
71,Gene Banks,NA,1981,80,21.3,9.6,3.9,8.2,47.7,0,0.1,0,1.8,2.7,68.4,2,3.2,5.1,1.8,0.7,0.2,1.3,11,0,NA,SF,22,1,NBA,SAS,0.515,0.012,0.325,9.9,16,13,11.5,1.5,0.5,12.5,19.9,1.9,1.6,3.5,0.099,0,-0.7,-0.7,0.6
73,Howard Wood,NA,1981,42,8.1,3.4,1.3,2.9,45.8,0,0,0,0.8,1.2,65.4,0.5,1,1.5,0.2,0.2,0.1,0.4,3.2,0,NA,SF,22,1,NBA,UTA,0.504,0.008,0.433,6.8,13.8,10.2,3.4,1.1,0.9,9.5,18.5,0.2,0.1,0.3,0.049,-1.8,-1.8,-3.6,-0.1
74,Isiah Thomas,2000,1981,72,33.8,17,6.3,14.8,42.4,0.2,0.8,28.8,4.2,6,70.4,0.8,2.1,2.9,7.8,2.1,0.2,4.2,15.6,1,NA,PG,20,1,NBA,DET,0.487,0.055,0.402,2.5,7.1,4.7,32.6,2.8,0.4,19.2,25,-0.2,2.5,2.3,0.046,-0.3,-0.6,-0.8,0.7
76,Jeff Lamp,NA,1981,54,11.4,4.6,1.9,3.6,51,0,0,0,0.9,1.1,82,0.4,0.7,1.2,0.5,0.3,0,0.8,3.8,0,NA,SF,22,1,NBA,POR,0.561,0.005,0.311,4.4,7.2,5.8,6,1.2,0.1,16.8,17.8,0.3,0.3,0.6,0.048,-2.9,-1.4,-4.3,-0.4
77,Jeff Ruland,NA,1981,82,27,14.4,5.1,9.1,56.1,0,0,33.3,4.2,5.5,75.2,3.1,6.2,9.3,1.6,0.5,0.7,2.9,18.3,0,NA,C,23,1,NBA,WSB,0.623,0.004,0.607,12.7,24.7,18.8,9.1,1,1.5,20,22.4,3.7,4.1,7.8,0.17,0.6,0.7,1.3,1.9
78,Jim Brogan,NA,1981,63,16.3,6.3,2.6,5.8,45.3,0.1,0.5,28.1,1,1.3,72.6,1,0.9,1.9,2.5,0.8,0.2,1.3,6.9,0,NA,SG,23,1,NBA,SDC,0.499,0.088,0.231,6.9,7,7,20.6,2.3,0.7,17.2,19.2,0.6,0.2,0.8,0.035,-0.2,-0.8,-1,0.3
79,Jim Smith,NA,1981,72,11.9,2.9,1.2,2.3,50.9,0,0,0,0.5,1.2,45.9,1,1.5,2.5,0.6,0.3,0.7,0.7,4.7,0,NA,PF,23,1,NBA,SDC,0.511,0,0.503,9.7,15.7,12.6,6.7,1.2,3.4,18.5,12,0.2,0.4,0.6,0.034,-3.5,0.4,-3.1,-0.2
80,John Douglas,NA,1981,64,16.1,7,2.8,6.1,46.5,0.3,0.9,30.5,1,1.6,65.7,0.4,1,1.4,2.3,0.8,0.1,1.4,6.3,0,NA,SG,25,1,NBA,SDC,0.515,0.152,0.262,3,7.5,5.2,19.6,2.2,0.5,17.5,20.8,0.3,0.2,0.5,0.022,-1.5,-1.1,-2.5,-0.1
81,Kelly Tripucka,NA,1981,82,37.5,21.6,7.8,15.6,49.6,0.1,0.3,22.7,6,7.6,79.7,2.7,2.7,5.4,3.3,1.1,0.2,3.4,18.8,0,NA,SF,22,1,NBA,DET,0.57,0.017,0.485,7.6,8.2,7.9,12.7,1.3,0.3,15.3,23.3,5.4,2.1,7.5,0.117,1.5,-1.3,0.2,1.7
82,Kevin Loder,NA,1981,71,16,6.9,2.9,6.3,46.4,0,0.2,0,1.1,1.5,72,1,1.8,2.7,1.2,0.5,0.4,1,7.1,0,NA,SF,22,1,NBA,KCK,0.498,0.025,0.239,6.6,12.8,9.6,10.7,1.4,1.5,12.1,20.2,0.4,1.1,1.5,0.062,-1.2,-0.2,-1.4,0.2
83,Kevin McKenna,NA,1981,36,6.6,1.9,0.8,2.4,32.2,0,0.1,0,0.3,0.5,64.7,0.5,0.3,0.8,0.4,0.3,0.1,0.6,1,0,NA,SG,23,1,NBA,LAL,0.355,0.023,0.195,8.6,4.9,6.7,6.8,2,0.4,17.5,19.2,-0.5,0.2,-0.3,-0.069,-6.8,-1.4,-8.2,-0.5
