index,Name,Hall.of.Fame.Class,Year.Drafted,RGP,RMIN,RPTS,RFGM,RFGA,RFG.,RX3P.Made,RX3PA,RX3P.,RFTM,RFTA,RFT.,ROREB,RDREB,RREB,RAST,RSTL,RBLK,RTOV,REFF,HOF
103,Chris Engler,NA,1982,54,6.8,1.5,0.7,1.7,40.4,0,0,0,0.1,0.3,31.3,0.8,1.1,1.9,0.2,0.1,0.3,0.4,2.4,0
104,Clark Kellogg,NA,1982,81,34.1,20.1,8.4,17.5,47.9,0,0.2,22.2,3.2,4.3,74.1,4.2,6.4,10.6,2.8,1.7,0.5,2.7,22.8,0
105,Cliff Levingston,NA,1982,62,14.2,5.6,2.1,4.4,48.5,0,0,0,1.4,2.4,57.1,1.7,2.1,3.7,0.8,0.4,0.6,1.2,6.7,0
106,Corny Thompson,NA,1982,44,11.8,2.8,1,3.1,31.4,0,0,0,0.8,1,78.3,0.9,1.8,2.7,0.8,0.3,0.2,0.7,3.6,0
107,Craig Hodges,NA,1982,76,26.6,9.9,4.2,9.3,45.2,0.3,1.2,22.2,1.2,1.7,72.3,0.7,0.9,1.6,3.6,1.1,0.1,2.1,8.6,0
108,Darren Tillis,NA,1982,52,10.1,3.2,1.5,3.5,42,0,0,0,0.3,0.5,57.1,0.8,1.7,2.5,0.3,0.1,0.6,0.4,4.1,0
109,Dave Batton,NA,1982,54,10.3,3.3,1.6,3.5,44.5,0,0.1,0,0.1,0.3,47.1,0.8,1.4,2.2,0.5,0.3,0.2,0.5,3.9,0
110,David Thirdkill,NA,1982,49,10.6,4,1.5,3.5,43.5,0,0.1,14.3,0.9,1.6,57.7,0.6,0.9,1.5,0.7,0.4,0.1,1,3,0
111,Dominique Wilkins,2006,1982,82,32.9,17.5,7.3,14.9,49.3,0,0.1,18.2,2.8,4.1,68.2,2.8,3.1,5.8,1.6,1,0.8,2.2,15.6,1
112,Ed Nealy,NA,1982,82,20,4.4,1.8,3,59.5,0,0,0,0.9,1.4,61.4,2.1,3.8,5.9,0.8,0.8,0.1,0.6,9.7,0
113,Eddie Phillips,NA,1982,48,8.7,3.2,1.2,2.9,40.6,0,0,0,0.8,1.2,67.8,0.6,1,1.6,0.6,0.3,0.2,1,2.7,0
114,Edmund Sherod,NA,1982,64,25.4,6.2,2.7,6.6,40.6,0,0.2,7.7,0.8,1.3,65,0.7,1.7,2.3,4.9,1.5,0.2,1.6,9.1,0
115,James Worthy,2003,1982,77,25.6,13.4,5.8,10,57.9,0,0.1,25,1.8,2.9,62.4,2,3.1,5.2,1.7,1.2,0.8,2.3,14.7,1
116,Jerry Eaves,NA,1982,82,19.4,9.3,3.4,7,48.7,0,0.1,12.5,2.4,3,81,0.4,1.1,1.5,2.6,0.6,0,1.9,8,0
117,Jim Johnstone,NA,1982,23,8.3,1.3,0.5,1.3,36.7,0,0,0,0.4,0.9,45,0.7,1.3,2,0.5,0.1,0.3,0.7,2.3,0
118,John Bagley,NA,1982,68,14.6,5.7,2.4,5.5,43.2,0,0.2,0,0.9,1.2,76.2,0.3,1.2,1.4,2.5,0.8,0.1,1.7,5.3,0
119,Jose Slaughter,NA,1982,63,8.2,3.6,1.4,3.8,37.4,0.1,0.7,22,0.6,0.9,64.4,0.5,0.5,1.1,0.8,0.6,0.1,0.7,2.8,0
